event name,latitude,longitude,depth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,MrrError,MttError,MppError,MrtError,MrpError,MtpError,half duration,moment,magnitude,exponent,year,month,day,dayofweek,is_weekend,is_weekday,hour,minute,second
72,-21.83,-68.87,118.0,29.03220710603707,27.77510115491249,29.016921088901356,28.49326016840187,29.184487982912422,28.420611895923468,23.071882007306126,23.32428245529769,23.238046103128795,27.301053446932826,27.477133414794917,23.264817823009537,2.1,24.444669230938523,5.56,24,1980,6,16,0,0,1,5,45,18
73,-33.47,-70.49,113.4,29.032218473579853,27.775050783237866,29.016912200180037,28.493256792877897,29.184476989690474,28.420610659309073,23.06445798922692,23.281033367247726,23.287801729930226,27.30105431547402,27.477137323318225,23.269512944217915,2.0,24.60648885044265,5.67,24,1980,7,13,6,1,0,6,20,37
74,-29.0,-69.89,129.3,29.032183091679208,27.77560236634064,29.016917225170317,28.493176037501623,29.184492901515267,28.420565446269073,23.383815365980432,23.57170883180869,23.606381365110604,27.301079719535522,27.477157010160095,23.632457292184725,3.0,25.008600171761916,5.94,25,1980,7,19,5,1,0,11,52,29
75,-35.46,-69.82,163.9,29.03221863044099,27.775161870164197,29.0169056722006,28.493263135214708,29.18448539522787,28.420615585959887,22.859738566197148,22.9106244048892,22.981365509078543,27.30104450085744,27.47713099728326,22.917505509552548,1.6,24.006037954997318,5.27,24,1980,8,3,6,1,0,3,0,53
76,-39.75,-73.37,44.6,29.032219066345295,27.775161870164197,29.016905220234225,28.493248116824006,29.184488212940703,28.420623585877557,22.832508912706235,22.99563519459755,23.045322978786658,27.301060395213742,27.47713602048103,22.94939000664491,1.8,24.1476763242411,5.37,24,1980,8,29,4,0,1,10,38,17
77,-24.42,-68.06,146.9,29.032211239356826,27.775207565001395,29.016910708962257,28.493268788422558,29.1844858104171,28.420607411118496,23.20951501454263,23.374748346010104,23.305351369446623,27.30106082947761,27.4771419555966,23.399673721481037,1.8,24.12188798510368,5.35,24,1980,11,8,5,1,0,21,35,50
78,-31.52,-67.55,15.0,29.032225905267655,27.77514248302309,29.016899246882122,28.493271675672787,29.184494435017466,28.42063501172042,23.008600171761916,23.181843587944773,23.06445798922692,27.301088621461886,27.47716366874288,22.986771734266245,2.4,24.558708570533167,5.64,24,1980,11,10,0,0,1,16,24,43
79,-21.26,-68.46,120.8,29.03209681050424,27.774668030137782,29.017060147803775,28.493200325677595,29.18445491720957,28.420523098059043,23.851258348719075,23.792391689498253,23.792391689498253,27.301145068455213,27.477189288859293,23.85733249643127,5.8,25.55786796156802,6.31,25,1980,12,11,3,0,1,18,15,14
80,-31.0,-67.19,138.1,29.032213861675785,27.77516835664601,29.016910239875045,28.493261653903076,29.184487320373496,28.420616385628524,22.716837723299523,22.985426474083003,22.989449817666692,27.301042199167465,27.47712972337949,22.890979596989688,1.3,23.708590845150344,5.07,23,1980,12,25,3,0,1,6,32,51
81,-23.96,-71.39,15.0,29.03222714319787,27.77521463378922,29.016893829022486,28.493262930174698,29.18448355271437,28.42061225866302,22.991226075692495,23.139879086401237,23.0,27.301089707050178,27.477170616720418,23.012837224705173,2.5,24.540079088804173,5.63,24,1981,1,7,2,0,1,16,26,47
